Period,Value
202001,5393
201912,5371
201911,5327
201910,5260
201909,5191
201908,5140
201907,5080
201906,4977
201905,4963
201904,4949
201903,4857
201902,4878
201901,4819
201812,4896
201811,4856
201810,4725
201809,4634
201808,4523
201807,4377
201806,4359
201805,4217
201804,4223
201803,4173
201802,4009
201801,3887
201712,3903
201711,3858
201710,3738
201709,3536
201708,3354
201707,3450
201706,3425
201705,3397
201704,3320
201703,3309
201702,3300
201701,3191
201612,3161
201611,3159
201610,3150
201609,3115
201608,3130
201607,3131
201606,3131
201605,3156
201604,3212
201603,3251
201602,3293
201601,3331
201512,3310
201511,3373
201510,3380
201509,3398
201508,3400
201507,3435
201506,3445
201505,3500
201504,3559
201503,3609
201502,3547
201501,3433
201412,3538
201411,3442
201410,3352
201409,3282
201408,3269
201407,3216
201406,3144
201405,3070
201404,3050
201403,2961
201402,2899
201401,2844
201312,2782
201311,2695
201310,2692
201309,2669
201308,2618
201307,2584
201306,2534
201305,2496
201304,2424
201303,2386
201302,2332
201301,2271
201212,2229
201211,2214
201210,2150
201209,2087
201208,2052
201207,1996
201206,1947
201205,1910
201204,1869
201203,1799
201202,1771
201201,1724
201112,1688
201111,1658
201110,1596
201109,1538
201108,1490
201107,1436
201106,1400
201105,1393
201104,1349
201103,1337
201102,1228
201101,1281
201012,1278
201011,1243
201010,1216
201009,1191
201008,1168
201007,1152
201006,1139
201005,1146
201004,1137
201003,1137
201002,1121
201001,1099
200912,1091
200911,1102
200910,1081
200909,1081
200908,1067
200907,1063
200906,1071
200905,1089
200904,1110
200903,1118
200902,1128
200901,1133
200812,1134
200811,1141
200810,1125
200809,1055
200808,1110
200807,1111
200806,1097
200805,1110
200804,1113
200803,1114
200802,1104
200801,1094
200712,1087
200711,1084
200710,1072
200709,1069
200708,1064
200707,1059
200706,1058
200705,1072
200704,1083
200703,1080
200702,1078
200701,1058
200612,1078
200611,1084
200610,1079
200609,1071
200608,1058
200607,1062
200606,1065
200605,1070
200604,1079
200603,1087
200602,1087
200601,1085
200512,1073
200511,1080
200510,1070
200509,1038
200508,1065
200507,1061
200506,1070
200505,1079
200504,1090
200503,1098
200502,1097
200501,1088
200412,1074
200411,1069
200410,1067
200409,1067
200408,1059
200407,1057
200406,1057
200405,1072
200404,1082
200403,1089
200402,1093
200401,1090
200312,1096
200311,1095
200310,1099
200309,1095
200308,1082
200307,1083
200306,1085
200305,1098
200304,1109
200303,1115
200302,1109
200301,1108
200212,1105
200211,1108
200210,1096
200209,1097
200208,1096
200207,1093
200206,1099
200205,1116
200204,1122
200203,1126
200202,1141
200201,1144
200112,1149
200111,1142
200110,1154
200109,1138
200108,1149
200107,1153
200106,1154
200105,1168
200104,1182
200103,1181
200102,1188
200101,1194
200012,1199
200011,1195
200010,1194
200009,1196
200008,1199
200007,1197
200006,1208
200005,1213
200004,1228
200003,1234
200002,1242
200001,1234
199912,1241
199911,1239
199910,1229
199909,1215
199908,1197
199907,1206
199906,1205
199905,1231
199904,1235
199903,1244
199902,1266
199901,1264
199812,1272
199811,1324
199810,1328
199809,1340
199808,1347
199807,1346
199806,1387
199805,1410
199804,1434
199803,1456
199802,1475
199801,1481
199712,1462
199711,1482
199710,1469
199709,1466
199708,1452
199707,1461
199706,1471
199705,1472
199704,1482
199703,1479
199702,1491
199701,1456
199612,1471
199611,1460
199610,1473
199609,1468
199608,1458
199607,1466
199606,1480
199605,1497
199604,1513
199603,1521
199602,1502
199601,1507
199512,1508
199511,1524
199510,1520
199509,1504
199508,1504
199507,1506
199506,1520
199505,1539
199504,1557
199503,1562
199502,1578
199501,1582
199412,1595
199411,1592
199410,1577
199409,1589
199408,1592
199407,1596
199406,1611
199405,1634
199404,1646
199403,1660
199402,1663
199401,1669
199312,1663
199311,1673
199310,1669
199309,1667
199308,1673
199307,1668
199306,1691
199305,1704
199304,1723
199303,1736
199302,1744
199301,1747
199212,1751
199211,1753
199210,1769
199209,1764
199208,1765
199207,1758
199206,1755
199205,1773
199204,1802
199203,1814
199202,1812
199201,1817
199112,1824
199111,1847
199110,1844
199109,1843
199108,1849
199107,1841
199106,1844
199105,1887
199104,1905
199103,1913
199102,1931
199101,1917
199012,1865
199011,1900
199010,1897
199009,1851
199008,1848
199007,1826
199006,1822
199005,1840
199004,1846
199003,1858
199002,1882
199001,1873
198912,1803
198911,1864
198910,1854
198909,1857
198908,1868
198907,1871
198906,1879
198905,1906
198904,1924
198903,1929
198902,1911
198901,1959
198812,1956
198811,1972
198810,1982
198809,1967
198808,1983
198807,1988
198806,2012
198805,2024
198804,2043
198803,2060
198802,2068
198801,2062
198712,2054
198711,2070
198710,2069
198709,2054
198708,2045
198707,2054
198706,2061
198705,2079
198704,2125
198703,2134
198702,2143
198701,2133
198612,2144
198611,2153
198610,2150
198609,2163
198608,2178
198607,2214
198606,2227
198605,2271
198604,2313
198603,2366
198602,2384
198601,2391
198512,2381
198511,2390
198510,2374
198509,2355
198508,2372
198507,2366
198506,2365
198505,2387
198504,2461
198503,2390
198502,2370
198501,2366
198412,2402
198411,2401
198410,2388
198409,2399
198408,2391
198407,2399
198406,2408
198405,2413
198404,2425
198403,2436
198402,2427
198401,2469
198312,2265
198311,2428
198310,2415
198309,2424
198308,2400
198307,2417
198306,2434
198305,2428
198304,2461
198303,2453
198302,2466
198301,2444
198212,2455
198211,2483
198210,2470
198209,2487
198208,2455
198207,2464
198206,2478
198205,2500
198204,2533
198203,2526
198202,2518
198201,2494
198112,2505
198111,2505
198110,2528
198109,2534
198108,2528
198107,2537
198106,2568
198105,2577
198104,2578
198103,2604
198102,2593
198101,2600
